ID,Field,Old Value,New Value
38,reading_test_score2,,98
38,matrix_reading_restest,,30
38,math_test_scores2,,70
38,matrix_math_retest,,16
39,total_points_retest,,120
39,language_test_scores2,,99
39,matrix_languauge_retest,,30
39,reading_test_score2,,99
39,matrix_reading_restest,,30
39,math_test_scores2,,99
39,matrix_math_retest,,30
40,total_points_retest,,112
40,language_test_scores2,,83
40,matrix_languauge_retest,,22
40,reading_test_score2,,99
40,matrix_reading_restest,,30
40,math_test_scores2,,98
40,matrix_math_retest,,30
41,total_points_retest,,97
41,language_test_scores2,,88
41,matrix_languauge_retest,,25
41,reading_test_score2,,71
41,matrix_reading_restest,,16
41,math_test_scores2,,90
41,matrix_math_retest,,26
42,total_points_retest,,90
42,language_test_scores2,,96
42,matrix_languauge_retest,,29
42,reading_test_score2,,74
42,matrix_reading_restest,,18
42,math_test_scores2,,66
42,matrix_math_retest,,14
43,total_points_retest,,102
43,language_test_scores2,,76
43,matrix_languauge_retest,,19
43,reading_test_score2,,99
43,matrix_reading_restest,,30
43,math_test_scores2,,98
43,matrix_math_retest,,30
44,total_points_retest,,110
44,language_test_scores2,,80
44,matrix_languauge_retest,,21
44,reading_test_score2,,96
44,matrix_reading_restest,,29
44,math_test_scores2,,99
44,matrix_math_retest,,30
45,total_points_retest,,30
45,language_test_scores2,,35
45,matrix_languauge_retest,,1
45,reading_test_score2,,81
45,matrix_reading_restest,,21
45,math_test_scores2,,54
45,matrix_math_retest,,8
46,total_points_retest,,100
46,language_test_scores2,,75
46,matrix_languauge_retest,,18
46,reading_test_score2,,99
46,matrix_reading_restest,,30
46,math_test_scores2,,83
46,matrix_math_retest,,22
47,total_points_retest,,111
47,language_test_scores2,,92
47,matrix_languauge_retest,,27
47,reading_test_score2,,96
47,matrix_reading_restest,,29
47,math_test_scores2,,89
47,matrix_math_retest,,25
48,total_points_retest,,17
48,language_test_scores2,,40
48,matrix_languauge_retest,,1
48,reading_test_score2,,46
48,matrix_reading_restest,,4
48,math_test_scores2,,63
48,matrix_math_retest,,12
49,total_points_retest,,106
49,language_test_scores2,,84
49,matrix_languauge_retest,,23
49,reading_test_score2,,85
49,matrix_reading_restest,,23
49,math_test_scores2,,99
49,matrix_math_retest,,30
50,total_points_retest,,112
50,language_test_scores2,,82
50,matrix_languauge_retest,,22
50,reading_test_score2,,99
50,matrix_reading_restest,,30
50,math_test_scores2,,98
50,matrix_math_retest,,30
51,total_points_retest,,113
51,language_test_scores2,,85
51,matrix_languauge_retest,,23
51,reading_test_score2,,99
51,matrix_reading_restest,,30
51,math_test_scores2,,99
51,matrix_math_retest,,30
52,total_points_retest,,45
52,language_test_scores2,,90
52,matrix_languauge_retest,,26
52,reading_test_score2,,62
52,matrix_reading_restest,,12
52,math_test_scores2,,52
52,matrix_math_retest,,7
53,total_points_retest,,113
53,language_test_scores2,,87
53,matrix_languauge_retest,,24
53,reading_test_score2,,99
53,matrix_reading_restest,,30
53,math_test_scores2,,96
53,matrix_math_retest,,29
56,total_points_retest,,88
56,language_test_scores2,,69
56,matrix_languauge_retest,,15
56,reading_test_score2,,81
56,matrix_reading_restest,,21
56,math_test_scores2,,92
56,matrix_math_retest,,27
57,total_points_retest,,110
57,language_test_scores2,,78
57,matrix_languauge_retest,,20
57,reading_test_score2,,99
57,matrix_reading_restest,,30
57,math_test_scores2,,98
57,matrix_math_retest,,30
58,total_points_retest,,113
58,language_test_scores2,,94
58,matrix_languauge_retest,,28
58,reading_test_score2,,94
58,matrix_reading_restest,,28
58,math_test_scores2,,93
58,matrix_math_retest,,27
60,total_points_retest,,93
60,language_test_scores2,,94
60,matrix_languauge_retest,,28
60,reading_test_score2,,95
60,matrix_reading_restest,,28
60,math_test_scores2,,68
60,matrix_math_retest,,15
61,total_points_retest,,91
61,language_test_scores2,,82
61,matrix_languauge_retest,,22
61,reading_test_score2,,87
61,matrix_reading_restest,,24
61,math_test_scores2,,69
61,matrix_math_retest,,15
62,total_points_retest,,112
62,language_test_scores2,,88
62,matrix_languauge_retest,,25
62,reading_test_score2,,99
62,matrix_reading_restest,,30
62,math_test_scores2,,93
62,matrix_math_retest,,27
63,total_points_retest,,117
63,language_test_scores2,,94
63,matrix_languauge_retest,,28
63,reading_test_score2,,99
63,matrix_reading_restest,,30
63,math_test_scores2,,97
63,matrix_math_retest,,29
64,total_points_retest,,108
64,language_test_scores2,,96
64,matrix_languauge_retest,,29
64,reading_test_score2,,89
64,matrix_reading_restest,,25
64,math_test_scores2,,86
64,matrix_math_retest,,24
65,total_points_retest,,113
65,language_test_scores2,,88
65,matrix_languauge_retest,,25
65,reading_test_score2,,97
65,matrix_reading_restest,,29
65,math_test_scores2,,96
65,matrix_math_retest,,29
66,total_points_retest,,116
66,language_test_scores2,,94
66,matrix_languauge_retest,,28
66,reading_test_score2,,95
66,matrix_reading_restest,,28
66,math_test_scores2,,99
66,matrix_math_retest,,30
67,total_points_retest,,100
67,language_test_scores2,,87
67,matrix_languauge_retest,,24
67,reading_test_score2,,94
67,matrix_reading_restest,,28
67,math_test_scores2,,74
67,matrix_math_retest,,18
68,total_points_retest,,33
68,language_test_scores2,,63
68,matrix_languauge_retest,,12
68,reading_test_score2,,63
68,matrix_reading_restest,,12
68,math_test_scores2,,57
68,matrix_math_retest,,9
69,total_points_retest,,105
69,language_test_scores2,,90
69,matrix_languauge_retest,,26
69,reading_test_score2,,98
69,matrix_reading_restest,,30
69,math_test_scores2,,77
69,matrix_math_retest,,19
70,total_points_retest,,119
70,language_test_scores2,,97
70,matrix_languauge_retest,,29
70,reading_test_score2,,99
70,matrix_reading_restest,,30
70,math_test_scores2,,99
70,matrix_math_retest,,30
71,total_points_retest,,119
71,language_test_scores2,,96
71,matrix_languauge_retest,,29
71,reading_test_score2,,99
71,matrix_reading_restest,,30
71,math_test_scores2,,99
71,matrix_math_retest,,30
72,total_points_retest,,34
72,language_test_scores2,,58
72,matrix_languauge_retest,,10
72,reading_test_score2,,77
72,matrix_reading_restest,,19
72,math_test_scores2,,48
72,matrix_math_retest,,5
73,total_points_retest,,13
73,language_test_scores2,,42
73,matrix_languauge_retest,,2
73,reading_test_score2,,49
73,matrix_reading_restest,,5
73,math_test_scores2,,51
73,matrix_math_retest,,6
75,total_points_retest,,62
75,language_test_scores2,,79
75,matrix_languauge_retest,,20
75,reading_test_score2,,78
75,matrix_reading_restest,,20
75,math_test_scores2,,82
75,matrix_math_retest,,22
76,total_points_retest,,93
76,language_test_scores2,,88
76,matrix_languauge_retest,,25
76,reading_test_score2,,85
76,matrix_reading_restest,,23
76,math_test_scores2,,69
76,matrix_math_retest,,15
77,total_points_retest,,77
77,language_test_scores2,,98
77,matrix_languauge_retest,,30
77,reading_test_score2,,94
77,matrix_reading_restest,,28
77,math_test_scores2,,76
77,matrix_math_retest,,19
79,total_points_retest,,120
79,language_test_scores2,,99
79,matrix_languauge_retest,,30
79,reading_test_score2,,99
79,matrix_reading_restest,,30
79,math_test_scores2,,99
79,matrix_math_retest,,30
80,total_points_retest,,91
80,language_test_scores2,,61
80,matrix_languauge_retest,,11
80,reading_test_score2,,99
80,matrix_reading_restest,,30
80,math_test_scores2,,78
80,matrix_math_retest,,20
81,total_points_retest,,112
81,language_test_scores2,,99
81,matrix_languauge_retest,,30
81,reading_test_score2,,99
81,matrix_reading_restest,,30
81,math_test_scores2,,83
81,matrix_math_retest,,22
82,total_points_retest,,115
82,language_test_scores2,,95
82,matrix_languauge_retest,,28
82,reading_test_score2,,96
82,matrix_reading_restest,,29
82,math_test_scores2,,95
82,matrix_math_retest,,28
83,total_points_retest,,95
83,language_test_scores2,,89
83,matrix_languauge_retest,,25
83,reading_test_score2,,79
83,matrix_reading_restest,,20
83,math_test_scores2,,85
83,matrix_math_retest,,23
84,total_points_retest,,115
84,language_test_scores2,,94
84,matrix_languauge_retest,,28
84,reading_test_score2,,97
84,matrix_reading_restest,,29
84,math_test_scores2,,94
84,matrix_math_retest,,28
85,total_points_retest,,11
85,language_test_scores2,,37
85,matrix_languauge_retest,,1
85,reading_test_score2,,56
85,matrix_reading_restest,,9
85,math_test_scores2,,38
85,matrix_math_retest,,1
86,total_points_retest,,102
86,language_test_scores2,,81
86,matrix_languauge_retest,,21
86,reading_test_score2,,99
86,matrix_reading_restest,,30
86,math_test_scores2,,99
86,matrix_math_retest,,30
87,total_points_retest,,110
87,language_test_scores2,,85
87,matrix_languauge_retest,,23
87,reading_test_score2,,99
87,matrix_reading_restest,,30
87,math_test_scores2,,97
87,matrix_math_retest,,29
88,total_points_retest,,99
88,language_test_scores2,,75
88,matrix_languauge_retest,,18
88,reading_test_score2,,92
88,matrix_reading_restest,,27
88,math_test_scores2,,86
88,matrix_math_retest,,24
91,total_points_retest,,106
91,language_test_scores2,,96
91,matrix_languauge_retest,,29
91,reading_test_score2,,95
91,matrix_reading_restest,,28
91,math_test_scores2,,76
91,matrix_math_retest,,19
92,total_points_retest,,117
92,language_test_scores2,,93
92,matrix_languauge_retest,,27
92,reading_test_score2,,99
92,matrix_reading_restest,,30
92,math_test_scores2,,99
92,matrix_math_retest,,30
93,total_points_retest,,57
93,language_test_scores2,,45
93,matrix_languauge_retest,,3
93,reading_test_score2,,92
93,matrix_reading_restest,,27
93,math_test_scores2,,93
93,matrix_math_retest,,27
94,total_points_retest,,104
94,language_test_scores2,,82
94,matrix_languauge_retest,,22
94,reading_test_score2,,92
94,matrix_reading_restest,,27
94,math_test_scores2,,89
94,matrix_math_retest,,25
96,total_points_retest,,108
96,language_test_scores2,,82
96,matrix_languauge_retest,,22
96,reading_test_score2,,98
96,matrix_reading_restest,,30
96,math_test_scores2,,90
96,matrix_math_retest,,26
99,total_points_retest,,94
99,language_test_scores2,,68
99,matrix_languauge_retest,,15
99,reading_test_score2,,89
99,matrix_reading_restest,,25
99,math_test_scores2,,95
99,matrix_math_retest,,28
100,total_points_retest,,108
100,language_test_scores2,,76
100,matrix_languauge_retest,,19
100,reading_test_score2,,96
100,matrix_reading_restest,,29
100,math_test_scores2,,99
100,matrix_math_retest,,30
102,total_points,,0
103,total_points_retest,,26
103,language_test_scores2,,37
103,matrix_languauge_retest,,1
103,reading_test_score2,,71
103,matrix_reading_restest,,16
103,math_test_scores2,,57
103,matrix_math_retest,,9
104,total_points_retest,,117
104,language_test_scores2,,99
104,matrix_languauge_retest,,30
104,reading_test_score2,,99
104,matrix_reading_restest,,30
104,math_test_scores2,,93
104,matrix_math_retest,,27
105,total_points_retest,,115
105,language_test_scores2,,89
105,matrix_languauge_retest,,25
105,reading_test_score2,,99
105,matrix_reading_restest,,30
105,math_test_scores2,,99
105,matrix_math_retest,,30
106,total_points_retest,,38
106,language_test_scores2,,76
106,matrix_languauge_retest,,19
106,reading_test_score2,,67
106,matrix_reading_restest,,14
106,math_test_scores2,,48
106,matrix_math_retest,,5
107,total_points_retest,,38
107,language_test_scores2,,76
107,matrix_languauge_retest,,19
107,reading_test_score2,,67
107,matrix_reading_restest,,14
107,math_test_scores2,,48
107,matrix_math_retest,,5
108,total_points_retest,,113
108,language_test_scores2,,87
108,matrix_languauge_retest,,24
108,reading_test_score2,,99
108,matrix_reading_restest,,30
108,math_test_scores2,,97
108,matrix_math_retest,,29
109,total_points_retest,,103
109,language_test_scores2,,85
109,matrix_languauge_retest,,23
109,reading_test_score2,,94
109,matrix_reading_restest,,28
109,math_test_scores2,,83
109,matrix_math_retest,,22
110,total_points_retest,,79
110,language_test_scores2,,85
110,matrix_languauge_retest,,23
110,reading_test_score2,,90
110,matrix_reading_restest,,26
110,math_test_scores2,,98
110,matrix_math_retest,,30
111,total_points_retest,,88
111,language_test_scores2,,70
111,matrix_languauge_retest,,16
111,reading_test_score2,,73
111,matrix_reading_restest,,17
111,math_test_scores2,,93
111,matrix_math_retest,,27
112,total_points_retest,,61
112,language_test_scores2,,93
112,matrix_languauge_retest,,27
112,reading_test_score2,,97
112,matrix_reading_restest,,29
112,math_test_scores2,,48
112,matrix_math_retest,,5
113,total_points_retest,,13
113,language_test_scores2,,44
113,matrix_languauge_retest,,3
113,reading_test_score2,,57
113,matrix_reading_restest,,9
113,math_test_scores2,,10
113,matrix_math_retest,,1
114,total_points_retest,,113
114,language_test_scores2,,98
114,matrix_languauge_retest,,30
114,reading_test_score2,,96
114,matrix_reading_restest,,29
114,math_test_scores2,,86
114,matrix_math_retest,,24
115,total_points_retest,,114
115,language_test_scores2,,89
115,matrix_languauge_retest,,25
115,reading_test_score2,,99
115,matrix_reading_restest,,30
115,math_test_scores2,,97
115,matrix_math_retest,,29
117,total_points_retest,,116
117,language_test_scores2,,96
117,matrix_languauge_retest,,29
117,reading_test_score2,,92
117,matrix_reading_restest,,27
117,math_test_scores2,,99
117,matrix_math_retest,,30
118,total_points_retest,,64
118,language_test_scores2,,77
118,matrix_languauge_retest,,19
118,reading_test_score2,,71
118,matrix_reading_restest,,16
118,math_test_scores2,,97
118,matrix_math_retest,,29
119,total_points,,0
120,total_points_retest,,91
120,language_test_scores2,,61
120,matrix_languauge_retest,,11
120,reading_test_score2,,86
120,matrix_reading_restest,,24
120,math_test_scores2,,96
120,matrix_math_retest,,29
121,total_points_retest,,102
121,language_test_scores2,,80
121,matrix_languauge_retest,,21
121,reading_test_score2,,80
121,matrix_reading_restest,,21
121,math_test_scores2,,98
121,matrix_math_retest,,30
123,total_points_retest,,109
123,language_test_scores2,,93
123,matrix_languauge_retest,,27
123,reading_test_score2,,97
123,matrix_reading_restest,,29
123,math_test_scores2,,85
123,matrix_math_retest,,23
125,total_points_retest,,115
125,language_test_scores2,,94
125,matrix_languauge_retest,,28
125,reading_test_score2,,92
125,matrix_reading_restest,,27
125,math_test_scores2,,99
125,matrix_math_retest,,30
126,total_points_retest,,5
126,language_test_scores2,,8
126,matrix_languauge_retest,,1
126,reading_test_score2,,16
126,matrix_reading_restest,,1
126,math_test_scores2,,44
126,matrix_math_retest,,3
127,total_points_retest,,103
127,language_test_scores2,,80
127,matrix_languauge_retest,,21
127,reading_test_score2,,98
127,matrix_reading_restest,,30
127,math_test_scores2,,83
127,matrix_math_retest,,22
129,total_points_retest,,74
129,language_test_scores2,,77
129,matrix_languauge_retest,,19
129,reading_test_score2,,90
129,matrix_reading_restest,,26
129,math_test_scores2,,96
129,matrix_math_retest,,29
130,total_points_retest,,77
130,language_test_scores2,,89
130,matrix_languauge_retest,,25
130,reading_test_score2,,87
130,matrix_reading_restest,,24
130,math_test_scores2,,95
130,matrix_math_retest,,28
131,total_points_retest,,119
131,language_test_scores2,,96
131,matrix_languauge_retest,,29
131,reading_test_score2,,99
131,matrix_reading_restest,,30
131,math_test_scores2,,99
131,matrix_math_retest,,30
132,total_points_retest,,115
132,language_test_scores2,,89
132,matrix_languauge_retest,,25
132,reading_test_score2,,99
132,matrix_reading_restest,,30
132,math_test_scores2,,99
132,matrix_math_retest,,30
133,total_points_retest,,105
133,language_test_scores2,,80
133,matrix_languauge_retest,,21
133,reading_test_score2,,99
133,matrix_reading_restest,,30
133,math_test_scores2,,86
133,matrix_math_retest,,24
134,total_points_retest,,120
134,language_test_scores2,,99
134,matrix_languauge_retest,,30
134,reading_test_score2,,99
134,matrix_reading_restest,,30
134,math_test_scores2,,99
134,matrix_math_retest,,30
136,total_points_retest,,71
136,language_test_scores2,,80
136,matrix_languauge_retest,,21
136,reading_test_score2,,81
136,matrix_reading_restest,,21
136,math_test_scores2,,30
136,matrix_math_retest,,1
138,total_points_retest,,102
138,language_test_scores2,,80
138,matrix_languauge_retest,,21
138,reading_test_score2,,80
138,matrix_reading_restest,,21
138,math_test_scores2,,99
138,matrix_math_retest,,30
139,total_points_retest,,36
139,language_test_scores2,,52
139,matrix_languauge_retest,,7
139,reading_test_score2,,57
139,matrix_reading_restest,,9
139,math_test_scores2,,78
139,matrix_math_retest,,20
140,total_points_retest,,109
140,language_test_scores2,,92
140,matrix_languauge_retest,,27
140,reading_test_score2,,94
140,matrix_reading_restest,,28
140,math_test_scores2,,86
140,matrix_math_retest,,24
141,total_points,,0
142,total_points_retest,,90
142,language_test_scores2,,61
142,matrix_languauge_retest,,11
142,reading_test_score2,,89
142,matrix_reading_restest,,25
142,math_test_scores2,,86
142,matrix_math_retest,,24
143,total_points_retest,,94
143,language_test_scores2,,74
143,matrix_languauge_retest,,18
143,reading_test_score2,,86
143,matrix_reading_restest,,24
143,math_test_scores2,,83
143,matrix_math_retest,,22
144,total_points_retest,,13
144,language_test_scores2,,44
144,matrix_languauge_retest,,3
144,reading_test_score2,,56
144,matrix_reading_restest,,9
144,math_test_scores2,,16
144,matrix_math_retest,,1
146,total_points_retest,,115
146,language_test_scores2,,89
146,matrix_languauge_retest,,25
146,reading_test_score2,,99
146,matrix_reading_restest,,30
146,math_test_scores2,,99
146,matrix_math_retest,,30
147,total_points_retest,,30
147,language_test_scores2,,29
147,matrix_languauge_retest,,1
147,reading_test_score2,,73
147,matrix_reading_restest,,17
147,math_test_scores2,,62
147,matrix_math_retest,,12
148,total_points_retest,,35
148,language_test_scores2,,53
148,matrix_languauge_retest,,7
148,reading_test_score2,,69
148,matrix_reading_restest,,15
148,math_test_scores2,,64
148,matrix_math_retest,,13
149,total_points_retest,,99
149,language_test_scores2,,81
149,matrix_languauge_retest,,21
149,reading_test_score2,,92
149,matrix_reading_restest,,27
149,math_test_scores2,,97
149,matrix_math_retest,,29
150,total_points_retest,,98
150,language_test_scores2,,92
150,matrix_languauge_retest,,27
150,reading_test_score2,,88
150,matrix_reading_restest,,25
150,math_test_scores2,,70
150,matrix_math_retest,,16
151,total_points_retest,,115
151,language_test_scores2,,89
151,matrix_languauge_retest,,25
151,reading_test_score2,,98
151,matrix_reading_restest,,30
151,math_test_scores2,,98
151,matrix_math_retest,,30
152,total_points_retest,,107
152,language_test_scores2,,98
152,matrix_languauge_retest,,30
152,reading_test_score2,,98
152,matrix_reading_restest,,30
152,math_test_scores2,,97
152,matrix_math_retest,,29
154,total_points_retest,,117
154,language_test_scores2,,99
154,matrix_languauge_retest,,30
154,reading_test_score2,,92
154,matrix_reading_restest,,27
154,math_test_scores2,,99
154,matrix_math_retest,,30
155,total_points_retest,,100
155,language_test_scores2,,76
155,matrix_languauge_retest,,19
155,reading_test_score2,,96
155,matrix_reading_restest,,29
155,math_test_scores2,,83
155,matrix_math_retest,,22
157,total_points_retest,,118
157,language_test_scores2,,95
157,matrix_languauge_retest,,28
157,reading_test_score2,,99
157,matrix_reading_restest,,30
157,math_test_scores2,,99
157,matrix_math_retest,,30
158,total_points_retest,,23
158,language_test_scores2,,32
158,matrix_languauge_retest,,1
158,reading_test_score2,,69
158,matrix_reading_restest,,15
158,math_test_scores2,,53
158,matrix_math_retest,,7
160,total_points_retest,,89
160,language_test_scores2,,79
160,matrix_languauge_retest,,20
160,reading_test_score2,,82
160,matrix_reading_restest,,22
160,math_test_scores2,,78
160,matrix_math_retest,,20
161,total_points_retest,,27
161,language_test_scores2,,50
161,matrix_languauge_retest,,6
161,reading_test_score2,,67
161,matrix_reading_restest,,14
161,math_test_scores2,,53
161,matrix_math_retest,,7
162,total_points_retest,,7
162,language_test_scores2,,11
162,matrix_languauge_retest,,1
162,reading_test_score2,,26
162,matrix_reading_restest,,1
162,math_test_scores2,,48
162,matrix_math_retest,,5
163,total_points_retest,,117
163,language_test_scores2,,93
163,matrix_languauge_retest,,27
163,reading_test_score2,,99
163,matrix_reading_restest,,30
163,math_test_scores2,,99
163,matrix_math_retest,,30
166,total_points_retest,,108
166,language_test_scores2,,79
166,matrix_languauge_retest,,20
166,reading_test_score2,,99
166,matrix_reading_restest,,30
166,math_test_scores2,,94
166,matrix_math_retest,,28
167,total_points_retest,,113
167,language_test_scores2,,93
167,matrix_languauge_retest,,27
167,reading_test_score2,,98
167,matrix_reading_restest,,30
167,math_test_scores2,,91
167,matrix_math_retest,,26
168,total_points_retest,,56
168,language_test_scores2,,64
168,matrix_languauge_retest,,13
168,reading_test_score2,,89
168,matrix_reading_restest,,25
168,math_test_scores2,,75
168,matrix_math_retest,,18
169,total_points_retest,,115
169,language_test_scores2,,98
169,matrix_languauge_retest,,30
169,reading_test_score2,,88
169,matrix_reading_restest,,25
169,math_test_scores2,,99
169,matrix_math_retest,,30
170,total_points_retest,,114
170,language_test_scores2,,86
170,matrix_languauge_retest,,24
170,reading_test_score2,,99
170,matrix_reading_restest,,30
170,math_test_scores2,,99
170,matrix_math_retest,,30
171,total_points_retest,,54
171,language_test_scores2,,55
171,matrix_languauge_retest,,8
171,reading_test_score2,,73
171,matrix_reading_restest,,17
171,math_test_scores2,,97
171,matrix_math_retest,,29
173,total_points_retest,,109
173,language_test_scores2,,88
173,matrix_languauge_retest,,25
173,reading_test_score2,,95
173,matrix_reading_restest,,28
173,math_test_scores2,,90
173,matrix_math_retest,,26
174,total_points_retest,,18
174,language_test_scores2,,32
174,matrix_languauge_retest,,1
174,reading_test_score2,,38
174,matrix_reading_restest,,1
174,math_test_scores2,,70
174,matrix_math_retest,,16
175,total_points_retest,,120
175,language_test_scores2,,99
175,matrix_languauge_retest,,30
175,reading_test_score2,,99
175,matrix_reading_restest,,30
175,math_test_scores2,,99
175,matrix_math_retest,,30
177,total_points_retest,,98
177,language_test_scores2,,77
177,matrix_languauge_retest,,19
177,reading_test_score2,,88
177,matrix_reading_restest,,25
177,math_test_scores2,,86
177,matrix_math_retest,,24
178,total_points_retest,,120
178,language_test_scores2,,99
178,matrix_languauge_retest,,30
178,reading_test_score2,,98
178,matrix_reading_restest,,30
178,math_test_scores2,,99
178,matrix_math_retest,,30
179,total_points_retest,,57
179,language_test_scores2,,97
179,matrix_languauge_retest,,29
179,reading_test_score2,,90
179,matrix_reading_restest,,26
179,math_test_scores2,,43
179,matrix_math_retest,,2
180,total_points_retest,,105
180,language_test_scores2,,92
180,matrix_languauge_retest,,27
180,reading_test_score2,,96
180,matrix_reading_restest,,29
180,math_test_scores2,,76
180,matrix_math_retest,,19
181,total_points_retest,,57
181,language_test_scores2,,79
181,matrix_languauge_retest,,20
181,reading_test_score2,,79
181,matrix_reading_restest,,20
181,math_test_scores2,,72
181,matrix_math_retest,,17
182,total_points,,0
183,total_points_retest,,112
183,language_test_scores2,,89
183,matrix_languauge_retest,,25
183,reading_test_score2,,99
183,matrix_reading_restest,,30
183,math_test_scores2,,93
183,matrix_math_retest,,27
184,total_points_retest,,102
184,language_test_scores2,,86
