id,matrix_gpa,language_test_scores,reading_test_score,math_test_scores,total_points,matrix_languauge,matrix_math,matrix_reading,status,matrix_languauge_retest,matrix_math_retest,matrix_reading_restest,total_points_retest,updated_at,guardian1_email,guardian2_email,grade,deliver_test_accomodation_approved,test_date_sign_up,current_school,gpa,language_test_scores2,reading_test_score2,math_test_scores2
42,29,96,74,66,90,29,14,18,Eligible,,,,29,2025-04-09 20:18:24,,,9,,April 26 2025 (No-rest option),Lake Castle Private School,3.41,,,
43,23,76,99,98,102,19,30,30,Eligible,,,,23,2024-10-01 6:54:29,,,9,,November 16 2024,Edward Hynes Lakeview,2.88,,,
44,30,80,96,99,110,21,30,29,Eligible,,,,30,2024-10-01 6:20:58,,,9,,December 14 2024,Bricolage Academy,4,,,
45,,35,81,54,30,1,8,21,In Processing,,,,,2024-10-23 14:55:48,,,9,,December 14 2024,Lycee Francais de la Nouvelle Orleans,,,,
46,30,75,99,83,100,18,22,30,Eligible,,,,30,2024-10-01 9:22:39,,,9,,November 16 2024,Edward Hynes Lakeview,3.88,,,
47,30,92,96,89,111,27,25,29,Eligible,,,,30,2024-10-01 0:20:26,,,9,,November 16 2024,Audubon Uptown Montessori and French,4,,,
48,,40,46,63,17,1,12,4,In Processing,,,,,2024-10-01 4:21:57,,,9,,November 16 2024,Dorothy Height Charter School,,,,
49,30,84,85,99,106,23,30,23,Eligible,,,,30,2024-10-01 5:42:02,,,9,,November 16 2024,Lake Forest Elementary Charter School,3.87,,,
50,30,82,99,98,112,22,30,30,Eligible,,,,30,2024-10-01 6:01:25,,,9,,November 16 2024,Audubon Uptown Montessori and French,4,,,
51,30,85,99,99,113,23,30,30,Eligible,,,,30,2024-10-01 6:14:59,,,9,,November 16 2024,St. George's Episcopal School,3.75,,,
52,,90,62,52,45,26,7,12,In Processing,,,,,2024-10-01 6:25:58,,,10,,December 14 2024,Other,,,,
53,30,87,99,96,113,24,29,30,Eligible,,,,30,2024-10-01 6:29:16,,,9,,December 14 2024,The Willow School,4,,,
54,,,,,0,,,,In Processing,,,,,2024-10-01 6:32:02,,,10,,April 26 2025 (No-rest option),St. Augustine High School,,,,
55,,54,69,71,39,8,16,15,In Processing,,,,,2024-10-01 6:41:01,,,9,,March 22 2025 (No-rest option),Arthur Ashe Charter School,,,,
56,25,69,81,92,88,15,27,21,Eligible,,,,25,2024-10-01 6:35:48,,,9,,November 16 2024,Edward Hynes Lakeview,3,,,
57,30,78,99,98,110,20,30,30,Eligible,,,,30,2024-10-01 6:43:20,,,9,,November 16 2024,Audubon Uptown Montessori and French,3.75,,,
58,30,94,94,93,113,28,27,28,Eligible,,,,30,2024-10-01 7:19:51,,,9,,November 16 2024,Other,4,,,
59,,44,56,44,15,3,3,9,In Processing,,,,,2024-10-01 7:20:50,,,9,,February 15 2025 (No-rest option),Foundation Preparatory Charter,,,,
60,22,94,95,68,93,28,15,28,Eligible,,,,22,2024-10-01 8:10:54,,,9,,December 14 2024,Edward Hynes Lakeview,2.75,,,
61,30,82,87,69,91,22,15,24,Eligible,,,,30,2024-10-01 8:25:16,,,9,Test Accommodations Approved,November 16 2024,Audubon Uptown Montessori and French,3.5,,,
62,30,88,99,93,112,25,27,30,Eligible,,,,30,2024-10-01 8:26:15,,,9,,November 16 2024,Audubon Uptown Montessori and French,4,,,
63,30,94,99,97,117,28,29,30,Eligible,,,,30,2024-10-01 8:33:37,,,9,,November 16 2024,Metairie Park Country Day,4,,,
64,30,96,89,86,108,29,24,25,Eligible,,,,30,2024-10-01 8:36:59,,,9,,November 16 2024,St. Paul's Episcopal School,4,,,
65,30,88,97,96,113,25,29,29,Eligible,,,,30,2024-10-01 8:39:22,,,9,,November 16 2024,Lake Forest Elementary Charter School,3.75,,,
66,30,94,95,99,116,28,30,28,Eligible,,,,30,2024-10-01 8:38:11,,,9,,November 16 2024,Edward Hynes Lakeview,4,,,
67,30,87,94,74,100,24,18,28,Eligible,,,,30,2024-10-01 8:54:21,,,9,,December 14 2024,Bricolage Academy,4,,,
68,,63,63,57,33,12,9,12,In Processing,,,,,2024-10-01 8:59:43,,,9,,March 22 2025 (No-rest option),Edward Hynes Lakeview,,,,
69,30,90,98,77,105,26,19,30,Eligible,,,,30,2024-10-01 13:57:58,,,9,,November 16 2024,International School of Louisiana,3.75,,,
70,30,97,99,99,119,29,30,30,Eligible,,,,30,2024-10-01 9:19:24,,,9,,December 14 2024,The Willow School,4,,,
71,30,96,99,99,119,29,30,30,Eligible,,,,30,2024-10-01 9:22:53,,,9,,December 14 2024,The Willow School,4,,,
72,,58,77,48,34,10,5,19,In Processing,,,,,2024-10-01 9:31:21,,,9,,April 26 2025 (No-rest option),Lycee Francais de la Nouvelle Orleans,,,,
73,,42,49,51,13,2,6,5,In Processing,,,,,2024-10-01 9:37:03,,,9,,December 14 2024,Lake Forest Elementary Charter School,,,,
74,,61,92,77,57,11,19,27,In Processing,,,,,2024-10-01 9:44:07,,,9,,February 15 2025 (No-rest option),International School of Louisiana,,,,
75,,79,78,82,62,20,22,20,In Processing,,,,,2024-10-01 9:49:47,,,11,,March 22 2025 (No-rest option),Other,,,,
76,30,88,85,69,93,25,15,23,Eligible,,,,30,2024-10-01 10:01:21,,,9,,November 16 2024,St. Andrew's Episcopal School,4,,,
77,,98,94,76,77,30,19,28,In Processing,,,,,2024-10-01 9:59:18,,,10,,April 26 2025 (No-rest option),Other,,,,
78,,54,83,71,46,8,16,22,In Processing,,,,,2024-10-01 10:22:35,,,9,,March 22 2025 (No-rest option),Bricolage Academy,,,,
79,30,99,99,99,120,30,30,30,Eligible,,,,30,2024-10-01 10:29:55,,,9,,November 16 2024,Lake Forest Elementary Charter School,4,,,
80,30,61,99,78,91,11,20,30,Eligible,,,,30,2024-10-01 10:40:04,,,9,,December 14 2024,Audubon Uptown Montessori and French,3.75,,,
81,30,99,99,83,112,30,22,30,Eligible,,,,30,2024-10-01 10:53:02,,,9,,November 16 2024,Lycee Francais de la Nouvelle Orleans,4,,,
82,30,95,96,95,115,28,28,29,Eligible,,,,30,2024-10-01 11:11:01,,,9,,November 16 2024,Lake Forest Elementary Charter School,3.88,,,
83,27,89,79,85,95,25,23,20,Eligible,,,,27,2024-10-01 11:12:09,,,9,,December 14 2024,Trinity Episcopal School,3.25,,,
84,30,94,97,94,115,28,28,29,Eligible,,,,30,2024-10-01 11:19:22,,,11,,November 16 2024,Other,3.85,,,
85,,37,56,38,11,1,1,9,In Processing,,,,,2024-10-01 11:39:29,,,9,,April 26 2025 (No-rest option),Audubon Gentilly,,,,
86,21,81,99,99,102,21,30,30,Eligible,,,,21,2024-10-01 11:45:04,,,9,,November 16 2024,Lake Castle Private School,2.63,,,
87,28,85,99,97,110,23,29,30,Eligible,,,,28,2024-10-01 21:02:12,,,9,,December 14 2024,Edward Hynes Lakeview,3.38,,,
88,30,75,92,86,99,18,24,27,Eligible,,,,30,2024-10-01 12:19:43,,,9,,November 16 2024,Trinity Episcopal School,3.75,,,
89,,65,56,81,43,13,21,9,In Processing,,,,,2024-10-01 12:32:40,,,9,,March 22 2025 (No-rest option),Langston Hughes Academy,,,,
90,,61,93,82,60,11,22,27,In Processing,,,,,2024-10-01 12:44:29,,,10,,March 22 2025 (No-rest option),Other,,,,
91,30,96,95,76,106,29,19,28,Eligible,,,,30,2025-03-27 9:58:00,,,10,,November 16 2024,The Willow School,3.8,,,
92,30,93,99,99,117,27,30,30,Eligible,,,,30,2024-10-01 13:13:10,,,9,,November 16 2024,Morris Jeff Community School,4,,,
93,,45,92,93,57,3,27,27,In Processing,,,,,2024-10-01 13:37:13,,,9,,April 26 2025 (No-rest option),The Willow School,,,,
94,30,82,92,89,104,22,25,27,Eligible,,,,30,2024-10-01 13:43:49,,,9,,November 16 2024,Other,4,,,
95,30,68,63,90,83,15,26,12,Eligible,,,,30,2024-10-01 14:01:12,,,9,,February 15 2025 (No-rest option),Audubon Uptown Montessori and French,3.75,,,
96,30,82,98,90,108,22,26,30,Eligible,,,,30,2024-10-01 14:45:25,,,9,,November 16 2024,Edward Hynes Lakeview,3.75,,,
97,,69,92,65,55,15,13,27,In Processing,,,,,2024-10-01 15:12:33,,,9,,March 22 2025 (No-rest option),Homer Plessy Community School,,,,
98,,74,87,65,55,18,13,24,In Processing,,,,,2024-10-01 16:04:25,,,10,,March 22 2025 (No-rest option),Other,,,,
99,26,68,89,95,94,15,28,25,Eligible,,,,26,2024-10-01 15:57:17,,,9,,November 16 2024,Edward Hynes Lakeview,3.13,,,
100,30,76,96,99,108,19,30,29,Eligible,,,,30,2024-10-01 15:59:33,,,9,,November 16 2024,Lake Forest Elementary Charter School,3.5,,,
101,,,,,,,,,In Processing,,,,,2024-10-01 16:04:51,,,9,,March 22 2025 (No-rest option),Edward Hynes Lakeview,,,,
102,,,,,,,,,In Processing,,,,,2024-10-01 16:41:13,,,9,,,The Willow School,,,,
103,,,,,,,,,In Processing,,,,,2024-10-01 16:43:06,,,9,,March 22 2025 (No-rest option),Bricolage Academy,,,,
104,30,,,,30,,,,Eligible,,,,30,2024-10-01 16:54:12,,,11,,November 16 2024,International School of Louisiana,,,,
105,30,,,,30,,,,Eligible,,,,30,2024-10-01 17:13:34,,,9,,November 16 2024,Edward Hynes Lakeview,3.63,,,
106,,,,,,,,,In Processing,,,,,2024-10-01 17:24:06,,,10,,December 14 2024,Other,,,,
107,,,,,,,,,In Processing,,,,,2024-10-01 17:24:06,,,10,,December 14 2024,Other,,,,
108,30,,,,30,,,,Eligible,,,,30,2024-10-01 18:01:53,,,9,,December 14 2024,Audubon Uptown Montessori and French,4,,,
109,30,,,,30,,,,Eligible,,,,30,2024-10-01 21:01:54,,,9,,November 16 2024,Ecole Bilingue,4,,,
110,,,,,,,,,In Processing,,,,,2024-10-01 18:13:28,,,10,,November 16 2024,Other,,,,
111,28,,,,28,,,,Eligible,,,,28,2024-10-01 18:27:32,,,9,,December 14 2024,Lake Castle Private School,3.38,,,
112,,,,,,,,,In Processing,,,,,2024-10-01 19:08:52,,,10,,April 26 2025 (No-rest option),Other,,,,
113,,,,,,,,,In Processing,,,,,2024-10-01 19:23:56,,,9,,April 26 2025 (No-rest option),Other,,,,
114,30,,,,30,,,,Eligible,,,,30,2024-10-01 20:19:29,,,9,,November 16 2024,Audubon Uptown Montessori and French,4,,,
115,30,,,,30,,,,Eligible,,,,30,2024-10-01 20:30:40,,,9,,November 16 2024,Audubon Uptown Montessori and French,4,,,
116,,,,,,,,,In Processing,,,,,2024-10-01 20:36:24,,,9,,March 22 2025 (No-rest option),Lake Forest Elementary Charter School,,,,
117,30,,,,30,,,,Eligible,,,,30,2024-10-01 20:56:45,,,9,,November 16 2024,Audubon Uptown Montessori and French,4,,,
118,,,,,,,,,In Processing,,,,,2024-10-01 21:00:28,,,9,,December 14 2024,Homer Plessy Community School,,,,
119,,,,,,,,,In Processing,,,,,2024-10-01 21:12:57,,,11,,,Other,,,,
120,27,,,,27,,,,Eligible,,,,27,2024-10-01 21:18:47,,,9,,November 16 2024,Audubon Uptown Montessori and French,3.25,,,
121,30,,,,30,,,,Eligible,,,,30,2024-10-01 21:21:29,,,9,,November 16 2024,Lake Forest Elementary Charter School,3.88,,,
122,,,,,,,,,In Processing,,,,,2024-10-03 22:06:30,,,9,,March 22 2025 (No-rest option),Phillis Wheatley Community School,,,,
123,30,,,,30,,,,Eligible,,,,30,2024-10-01 21:40:46,,,9,,December 14 2024,Renew Dolores T. Aaron Academy,4,,,
124,,,,,,,,,In Processing,,,,,2024-10-01 22:08:28,,,9,,March 22 2025 (No-rest option),Phillis Wheatley Community School,,,,
125,30,,,,30,,,,Eligible,,,,30,2024-10-01 23:39:50,,,9,,November 16 2024,Edward Hynes Lakeview,3.88,,,
126,,,,,,,,,In Processing,,,,,2024-10-01 23:46:55,,,9,,November 16 2024,Homer Plessy Community School,,,,
127,30,,,,30,,,,Eligible,,,,30,2024-10-02 0:54:42,,,9,,November 16 2024,Audubon Uptown Montessori and French,4,,,
128,23,,,,23,,,,In Processing,,,,23,2024-10-02 3:03:14,,,9,,February 15 2025 (No-rest option),St. Andrew's Episcopal School,2.88,,,
129,,,,,,,,,In Processing,,,,,2024-10-02 4:41:12,,,9,,November 16 2024,Other,,,,
130,,,,,,,,,In Processing,,,,,2024-10-02 6:57:03,,,11,,November 16 2024,Other,,,,
131,30,,,,30,,,,Eligible,,,,30,2024-10-02 7:00:08,,,9,,November 16 2024,Audubon Uptown Montessori and French,4,,,
132,30,,,,30,,,,Eligible,,,,30,2024-10-02 7:08:53,,,9,,November 16 2024,Bricolage Academy,3.75,,,
133,30,,,,30,,,,Eligible,,,,30,2024-10-02 7:52:44,,,9,,November 16 2024,Bricolage Academy,4,,,
134,30,,,,30,,,,Eligible,,,,30,2024-10-18 13:09:06,,,9,,November 16 2024,The Willow School,4,,,
135,,,,,,,,,In Processing,,,,,2024-10-02 9:57:13,,,9,,February 15 2025 (No-rest option),Edward Hynes Lakeview,,,,
136,28,,,,28,,,,Eligible,,,,28,2024-10-02 9:59:11,,,9,,November 16 2024,Arthur Ashe Charter School,3.38,,,
137,,,,,,,,,In Processing,,,,,2024-10-02 10:00:32,,,9,,March 22 2025 (No-rest option),Edward Hynes Parkview,,,,
138,30,,,,30,,,,Eligible,,,,30,2024-10-02 11:04:34,,,9,,November 16 2024,Edward Hynes Parkview,4,,,
139,,,,,,,,,In Processing,,,,,2024-10-02 11:09:37,,,9,Test Accommodations Approved,December 14 2024,Ecole Bilingue,,,,
140,30,,,,30,,,,Eligible,,,,30,2024-10-02 11:28:19,,,9,,December 14 2024,Metairie Park Country Day,3.75,,,
141,,,,,,,,,In Processing,,,,,2024-10-02 12:00:38,,,9,,,Metairie Park Country Day,,,,
142,30,,,,30,,,,Eligible,,,,30,2024-10-02 13:11:47,,,9,,December 14 2024,Lake Forest Elementary Charter School,3.63,,,
143,30,,,,30,,,,Eligible,,,,30,2024-10-02 12:37:34,,,9,,November 16 2024,Ecole Bilingue,4,,,
144,,,,,,,,,In Processing,,,,,2024-10-02 14:50:42,,,9,,April 26 2025 (No-rest option),Lycee Francais de la Nouvelle Orleans,,,,
145,,,,,,,,,In Processing,,,,,2024-10-02 14:54:52,,,11,,January 18 2025,Other,,,,
146,30,,,,30,,,,Eligible,,,,30,2024-10-02 14:59:18,,,9,,December 14 2024,Louise McGehee,4,,,
147,,,,,,,,,In Processing,,,,,2024-10-02 15:17:55,,,9,,December 14 2024,Alice Harte Charter School,,,,
148,,,,,,,,,In Processing,,,,,2024-10-02 15:48:22,,,9,,April 26 2025 (No-rest option),International School of Louisiana,,,,
149,22,,,,22,,,,Eligible,,,,22,2024-10-02 17:39:37,,,9,,November 16 2024,The Willow School,2.75,,,
150,30,,,,30,,,,Eligible,,,,30,2024-10-02 17:56:52,,,10,,January 18 2025,Other,4,,,
151,30,,,,30,,,,Eligible,,,,30,2024-10-02 18:01:27,,,9,,November 16 2024,Bricolage Academy,3.75,,,
152,18,,,,18,,,,Eligible,,,,18,2024-10-02 18:05:53,,,9,Test Accommodations Approved,December 14 2024,Lake Forest Elementary Charter School,2.38,,,
153,,,,,,,,,In Processing,,,,,2024-10-02 19:53:32,,,9,,March 22 2025 (No-rest option),Audubon Uptown Montessori and French,,,,
154,30,,,,30,,,,Eligible,,,,30,2024-10-02 20:20:43,,,9,,November 16 2024,Lake Castle Private School,3.88,,,
155,30,,,,30,,,,Eligible,,,,30,2024-10-02 23:27:33,,,9,,November 16 2024,Mary McLeod Bethune Elementary,3.75,,,
156,,,,,,,,,In Processing,,,,,2024-10-03 7:05:38,,,9,,February 15 2025 (No-rest option),Morris Jeff Community School,,,,
157,30,,,,30,,,,Eligible,,,,30,2024-10-03 8:53:00,,,9,,November 16 2024,Lake Forest Elementary Charter School,3.63,,,
158,,,,,,,,,In Processing,,,,,2024-10-03 9:04:16,,,9,,March 22 2025 (No-rest option),Edward Hynes Lakeview,,,,
159,,,,,,,,,In Processing,,,,,2024-10-03 9:41:23,,,9,,March 22 2025 (No-rest option),International School of Louisiana,,,,
160,27,,,,27,,,,Eligible,,,,27,2024-10-03 10:33:17,,,9,,November 16 2024,Success at Thurgood Marshall,3.25,,,
161,,,,,,,,,In Processing,,,,,2024-10-03 12:26:35,,,9,,April 26 2025 (No-rest option),Audubon Uptown Montessori and French,,,,
162,,,,,,,,,In Processing,,,,,2024-10-03 12:59:55,,,9,,December 14 2024,Other,,,,
163,30,,,,30,,,,Eligible,,,,30,2024-10-03 13:03:58,,,9,,November 16 2024,Metairie Park Country Day,4,,,
164,,,,,,,,,In Processing,,,,,2024-10-03 14:35:42,,,9,,March 22 2025 (No-rest option),Edward Hynes Lakeview,,,,
165,,,,,,,,,In Processing,,,,,2024-10-03 15:01:30,,,9,,March 22 2025 (No-rest option),Lake Forest Elementary Charter School,,,,
166,30,,,,30,,,,Eligible,,,,30,2024-11-21 15:20:47,,,9,,December 14 2024,Bricolage Academy,3.88,,,
167,30,,,,30,,,,Eligible,,,,30,2024-10-03 17:20:49,,,9,,December 14 2024,Audubon Uptown Montessori and French,3.75,,,
168,,,,,,,,,In Processing,,,,,2024-10-03 18:07:04,,,9,,November 16 2024,Ecole Bilingue,,,,
169,30,,,,30,,,,Eligible,,,,30,2024-10-03 18:10:29,,,9,,November 16 2024,Lake Castle Private School,3.75,,,
170,30,,,,30,,,,Eligible,,,,30,2024-10-03 18:32:16,,,9,,November 16 2024,The Willow School,3.88,,,
171,,,,,,,,,In Processing,,,,,2024-10-03 18:20:31,,,9,,April 26 2025 (No-rest option),Ecole Bilingue,,,,
172,,,,,,,,,In Processing,,,,,2024-10-03 19:18:55,,,9,,February 15 2025 (No-rest option),Lake Forest Elementary Charter School,,,,
173,30,,,,30,,,,Eligible,,,,30,2024-10-03 19:41:11,,,9,,December 14 2024,Bricolage Academy,3.88,,,
174,,,,,,,,,In Processing,,,,,2024-10-03 20:42:41,,,10,,April 26 2025 (No-rest option),Other,,,,
175,30,,,,30,,,,Eligible,,,,30,2024-10-03 21:11:19,,,9,,November 16 2024,Lake Castle Private School,4,,,
176,,,,,,,,,In Processing,,,,,2024-10-04 14:27:16,,,9,,March 22 2025 (No-rest option),Morris Jeff Community School,,,,
177,30,,,,30,,,,Eligible,,,,30,2024-10-03 21:49:48,,,9,,December 14 2024,Alice Harte Charter School,3.5,,,
178,30,,,,30,,,,Eligible,,,,30,2024-10-07 18:27:18,,,9,,November 16 2024,Lake Castle Private School,3.88,,,
179,,,,,,,,,In Processing,,,,,2024-10-03 22:05:39,,,10,,April 26 2025 (No-rest option),Other,,,,
180,30,,,,30,,,,Eligible,,,,30,2024-10-04 2:52:13,,,9,,December 14 2024,Trinity Episcopal School,3.75,,,
181,,,,,,,,,In Processing,,,,,2024-10-04 9:25:17,,,9,,January 18 2025,Elan Academy,,,,
182,,,,,,,,,In Processing,,,,,2024-10-04 10:48:45,,,11,,,Other,,,,
183,30,,,,30,,,,Eligible,,,,30,2024-10-04 12:27:20,,,9,,December 14 2024,Audubon Uptown Montessori and French,4,,,
184,27,,,,27,,,,Eligible,,,,27,2024-10-04 17:14:24,,,9,,January 18 2025,Lake Forest Elementary Charter School,3.25,,,
185,25,,,,25,,,,Eligible,,,,25,2024-10-08 20:45:35,,,9,,December 14 2024,St. Paul's Episcopal School,3,,,
186,30,,,,30,,,,Eligible,,,,30,2024-10-04 19:25:21,,,9,,November 16 2024,Edward Hynes Lakeview,3.75,,,
187,30,,,,30,,,,Eligible,,,,30,2024-10-04 20:46:05,,,10,,November 16 2024,The Willow School,3.8,,,
188,30,,,,30,,,,Eligible,,,,30,2024-10-04 22:02:32,,,9,,November 16 2024,Lake Forest Elementary Charter School,4,,,
189,18,,,,18,,,,In Processing,,,,18,2024-10-05 3:17:14,,,9,,March 22 2025 (No-rest option),Lake Castle Private School,2.38,,,
190,30,,,,30,,,,Eligible,,,,30,2024-10-06 19:51:52,,,9,,November 16 2024,Bricolage Academy,4,,,
191,27,,,,27,,,,Eligible,,,,27,2024-10-05 8:45:44,,,9,,March 22 2025 (No-rest option),Audubon Gentilly,3.25,,,
192,30,,,,30,,,,Eligible,,,,30,2024-10-05 10:05:31,,,9,,January 18 2025,International School of Louisiana,4,,,
193,30,,,,30,,,,Eligible,,,,30,2025-04-02 7:49:30,,,9,,March 22 2025 (No-rest option),St. George's Episcopal School,3.5,,,
194,30,,,,30,,,,Eligible,,,,30,2024-10-11 11:39:21,,,9,,November 16 2024,Audubon Uptown Montessori and French,4,,,
195,30,,,,30,,,,Eligible,,,,30,2024-10-05 11:53:51,,,9,,December 14 2024,Edward Hynes Lakeview,,,,
196,30,,,,30,,,,Eligible,,,,30,2024-10-05 12:10:33,,,9,,January 18 2025,Bricolage Academy,3.88,,,
197,30,,,,30,,,,Eligible,,,,30,2024-10-05 12:37:26,,,11,,January 18 2025,Metairie Park Country Day,3.77,,,
198,30,,,,30,,,,Eligible,,,,30,2024-10-05 14:50:42,,,9,,November 16 2024,Audubon Gentilly,3.75,,,
199,30,,,,30,,,,Eligible,,,,30,2024-10-05 13:28:13,,,9,,November 16 2024,Lake Forest Elementary Charter School,4,,,
200,30,,,,30,,,,Eligible,,,,30,2024-10-05 17:12:32,,,9,,November 16 2024,St. Paul's Episcopal School,4,,,
201,30,,,,30,,,,In Processing,,,,30,2024-10-14 13:10:00,,,9,,November 16 2024,Other,4,,,
202,,,,,,,,,In Processing,,,,,2024-10-05 20:41:20,,,9,,April 26 2025 (No-rest option),Lake Forest Elementary Charter School,,,,
203,30,,,,30,,,,Eligible,,,,30,2024-10-06 9:02:20,,,9,,November 16 2024,Bricolage Academy,3.88,,,
204,27,,,,27,,,,Eligible,,,,27,2024-10-06 12:09:57,,,9,,January 18 2025,Audubon Gentilly,3.25,,,
