id,matrix_gpa,language_test_scores,reading_test_score,math_test_scores,total_points,matrix_languauge,matrix_math,matrix_reading,status,matrix_languauge_retest,matrix_math_retest,matrix_reading_restest,total_points_retest
728821,,,,,0,,,,In Processing,,,,
584607,,54,69,71,39,8,16,15,In Processing,15,15,12,42
989570,25,69,81,92,88,15,27,21,Eligible,,,,
425132,30,78,99,98,110,20,30,30,Eligible,,,,
894673,30,94,94,93,113,28,27,28,Eligible,,,,
250380,,44,56,44,15,3,3,9,In Processing,2,6,10,18
989135,22,94,95,68,93,28,15,28,Eligible,,,,
961187,30,82,87,69,91,22,15,24,Eligible,,,,
57375,30,88,99,93,112,25,27,30,Eligible,,,,
379212,30,94,99,97,117,28,29,30,Eligible,,,,
333176,30,96,89,86,108,29,24,25,Eligible,,,,
401455,30,88,97,96,113,25,29,29,Eligible,,,,
382800,30,94,95,99,116,28,30,28,Eligible,,,,
874527,30,87,94,74,100,24,18,28,Eligible,,,,
809757,,63,63,57,33,12,9,12,In Processing,,,,
603684,30,90,98,77,105,26,19,30,Eligible,,,,
773130,30,97,99,99,119,29,30,30,Eligible,,,,
430374,30,96,99,99,119,29,30,30,Eligible,,,,
477054,,58,77,48,34,10,5,19,In Processing,,,,
4523,,42,49,51,13,2,6,5,In Processing,,,,
150557,,61,92,77,57,11,19,27,In Processing,8,15,26,49
560742,,79,78,82,62,20,22,20,In Processing,,,,
258256,30,88,85,69,93,25,15,23,Eligible,,,,
146113,,98,94,76,77,30,19,28,In Processing,,,,
235871,,54,83,71,46,8,16,22,In Processing,14,21,17,52
610614,30,99,99,99,120,30,30,30,Eligible,,,,
97715,30,61,99,78,91,11,20,30,Eligible,,,,
230559,30,99,99,83,112,30,22,30,Eligible,,,,
766863,30,95,96,95,115,28,28,29,Eligible,,,,
975586,27,89,79,85,95,25,23,20,Eligible,,,,
189336,30,94,97,94,115,28,28,29,Eligible,,,,
131821,,37,56,38,11,1,1,9,In Processing,,,,
467088,21,81,99,99,102,21,30,30,Eligible,,,,
231331,28,85,99,97,110,23,29,30,Eligible,,,,
362160,30,75,92,86,99,18,24,27,Eligible,,,,
351638,,65,56,81,43,13,21,9,In Processing,6,18,1,25
847130,,61,93,82,60,11,22,27,In Processing,19,17,23,59
425312,30,96,95,76,106,29,19,28,Eligible,,,,
201919,30,93,99,99,117,27,30,30,Eligible,,,,
655385,,45,92,93,57,3,27,27,In Processing,,,,
85052,30,82,92,89,104,22,25,27,Eligible,,,,
969279,30,68,63,90,83,15,26,12,Eligible,28,30,26,114
629226,30,82,98,90,108,22,26,30,Eligible,,,,
940988,,69,92,65,55,15,13,27,In Processing,9,22,25,56
884437,,74,87,65,55,18,13,24,In Processing,13,9,23,45
856353,26,68,89,95,94,15,28,25,Eligible,,,,
182343,30,76,96,99,108,19,30,29,Eligible,,,,
97294,,56,84,60,43,9,11,23,In Processing,7,6,22,35
434544,,,,,,,,,In Processing,,,,
372989,,37,71,57,26,1,9,16,In Processing,,,,
913564,30,99,99,93,117,30,27,30,Eligible,,,,
703515,30,89,99,99,115,25,30,30,Eligible,,,,
678984,,76,67,48,38,19,5,14,In Processing,,,,
254535,,76,67,48,38,19,5,14,In Processing,,,,
880276,30,87,99,97,113,24,29,30,Eligible,,,,
496431,30,85,94,83,103,23,22,28,Eligible,,,,
381002,,85,90,98,79,23,30,26,In Processing,,,,
544260,28,70,73,93,88,16,27,17,Eligible,,,,
830314,,93,97,48,61,27,5,29,In Processing,,,,
520578,,44,57,10,13,3,1,9,In Processing,,,,
744656,30,98,96,86,113,30,24,29,Eligible,,,,
508191,30,89,99,97,114,25,29,30,Eligible,,,,
371361,,54,77,99,57,8,30,19,In Processing,3,27,15,45
760655,30,96,92,99,116,29,30,27,Eligible,,,,
191090,,77,71,97,64,19,29,16,In Processing,,,,
812372,,,,,,,,,In Processing,,,,
527332,27,61,86,96,91,11,29,24,Eligible,,,,
100190,30,80,80,98,102,21,30,21,Eligible,,,,
691499,,27,44,88,29,1,25,3,In Processing,1,21,1,23
24052,30,93,97,85,109,27,23,29,Eligible,,,,
425783,,17,10,24,3,1,1,1,In Processing,1,1,1,3
847913,30,94,92,99,115,28,30,27,Eligible,,,,
647213,,8,16,44,4,1,2,1,In Processing,,,,
705785,30,80,98,83,103,21,22,30,Eligible,,,,
514109,23,68,95,60,77,15,11,28,In Processing,17,20,22,82
477942,,77,90,96,74,19,29,26,In Processing,,,,
149845,,89,87,95,77,25,28,24,In Processing,,,,
201970,30,96,99,99,119,29,30,30,Eligible,,,,
185372,30,89,99,99,115,25,30,30,Eligible,,,,
924272,30,80,99,86,105,21,24,30,Eligible,,,,
576519,30,99,99,99,120,30,30,30,Eligible,,,,
732404,,61,88,73,53,11,17,25,In Processing,6,20,25,51
239172,28,80,81,30,100,21,30,21,Eligible,,,,
618658,,65,88,38,39,13,1,25,In Processing,1,1,1,3
842108,30,80,80,99,102,21,30,21,Eligible,,,,
60931,,52,57,78,36,7,20,9,In Processing,,,,
477360,30,92,94,86,109,27,24,28,Eligible,,,,
651944,,,,,,,,,In Processing,,,,
171553,30,61,89,86,90,11,24,25,Eligible,,,,
63134,30,74,86,83,94,18,22,24,Eligible,,,,
402715,,44,56,16,13,3,1,9,In Processing,,,,
567086,,,,,0,,,,In Processing,,,,
731698,30,89,99,99,115,25,30,30,Eligible,,,,
317904,,29,73,62,30,1,12,17,In Processing,,,,
286331,,53,69,64,35,7,13,15,In Processing,,,,
514160,22,81,92,97,99,21,29,27,Eligible,,,,
711546,30,92,88,70,98,27,16,25,Eligible,,,,
898565,30,89,98,98,115,25,30,30,Eligible,,,,
104318,18,98,98,97,107,30,29,30,Eligible,,,,
832379,,53,92,45,37,7,3,27,In Processing,21,12,16,49
197564,30,99,92,99,117,30,30,27,Eligible,,,,
451368,30,76,96,83,100,19,22,29,Eligible,,,,
766152,,70,92,63,55,16,12,27,In Processing,18,7,29,54
128943,30,95,99,99,118,28,30,30,Eligible,,,,
107441,,32,69,53,23,1,7,15,In Processing,,,,
189341,,37,55,57,18,1,9,8,In Processing,14,4,15,33
965831,27,79,82,78,89,20,20,22,Eligible,,,,
719899,,50,67,53,27,6,7,14,In Processing,,,,
497978,,11,26,48,7,1,5,1,In Processing,,,,
861929,30,93,99,99,117,27,30,30,Eligible,,,,
295548,,29,28,30,3,1,1,1,In Processing,1,2,1,4
783370,,60,56,90,46,11,26,9,In Processing,10,30,15,55
420575,30,79,99,94,108,20,28,30,Eligible,,,,
662041,30,93,98,91,113,27,26,30,Eligible,,,,
317116,,64,89,75,56,13,18,25,In Processing,,,,
453698,30,98,88,99,115,30,30,25,Eligible,,,,
981863,30,86,99,99,114,24,30,30,Eligible,,,,
593017,,55,73,97,54,8,29,17,In Processing,,,,
977610,,70,74,71,50,16,16,18,In Processing,19,7,15,41
122735,30,88,95,90,109,25,26,28,Eligible,,,,
468447,,32,38,70,18,1,16,1,In Processing,,,,
826417,30,99,99,99,120,30,30,30,Eligible,,,,
820028,,22,84,75,46,1,22,23,In Processing,15,21,15,51
109167,30,77,88,86,98,19,24,25,Eligible,,,,
386098,30,99,98,99,120,30,30,30,Eligible,,,,
593722,,97,90,43,57,29,2,26,In Processing,,,,
633632,30,92,96,76,105,27,19,29,Eligible,,,,
598937,,79,79,72,57,20,17,20,In Processing,,,,
955858,,,,,,,,,In Processing,,,,
130865,30,89,99,93,112,25,27,30,Eligible,,,,
970429,27,86,97,82,102,24,22,29,Eligible,,,,
287985,25,74,98,85,96,18,23,30,Eligible,,,,
846564,30,97,99,99,119,29,30,30,Eligible,,,,
196335,30,96,85,82,104,29,22,23,Eligible,,,,
827261,30,96,99,99,119,29,30,30,Eligible,,,,
52949,18,84,83,78,83,23,20,22,In Processing,26,19,16,79
147889,30,94,99,88,113,28,25,30,Eligible,,,,
70103,27,63,99,69,84,12,15,30,Eligible,18,17,27,89
487583,30,82,95,90,106,22,26,28,Eligible,,,,
426884,30,53,75,97,84,7,29,18,Eligible,20,24,14,88
198817,30,95,95,86,110,28,24,28,Eligible,,,,
59941,30,99,99,99,120,30,30,30,Eligible,,,,
607002,30,75,95,99,106,18,30,28,Eligible,,,,
196239,30,98,96,93,116,30,27,29,Eligible,,,,
69293,30,82,98,81,103,22,21,30,Eligible,,,,
675063,30,68,98,99,105,15,30,30,Eligible,,,,
791957,30,89,88,93,107,25,27,25,Eligible,,,,
613874,30,88,90,97,110,25,29,26,In Processing,,,,
831573,,,,,0,,,,In Processing,,,,
779566,30,89,99,99,115,25,30,30,Eligible,,,,
867422,27,84,92,90,103,23,26,27,Eligible,,,,
137797,,31,77,88,45,1,25,19,In Processing,,,,
813111,25,,,,25,,,,In Processing,17,15,27,84
750136,30,96,99,99,119,29,30,30,In Processing,,,,
580649,30,96,99,99,119,29,30,30,Eligible,,,,
284415,30,92,97,98,116,27,30,29,Eligible,,,,
36015,30,91,99,93,113,26,27,30,Eligible,,,,
329383,,86,69,28,40,24,1,15,In Processing,25,9,7,41
893951,30,78,94,79,98,20,20,28,Eligible,,,,
62703,30,72,84,99,100,17,30,23,Eligible,,,,
389935,,43,86,51,32,2,6,24,In Processing,4,15,22,41
993587,,,,,0,,,,In Processing,,,,
790735,,,,,0,,,,In Processing,,,,
69894,30,79,85,99,103,20,30,23,Eligible,,,,
579425,30,90,96,76,104,26,19,29,Eligible,,,,
995438,30,96,99,99,119,29,30,30,Eligible,,,,
776317,,52,56,51,22,7,6,9,In Processing,,,,
170555,30,97,99,99,119,29,30,30,Eligible,,,,
791894,28,91,99,99,114,26,30,30,Eligible,,,,
531627,,,,,0,,,,In Processing,,,,
550047,30,67,88,91,95,14,26,25,Eligible,,,,
72968,28,99,96,88,112,30,25,29,Eligible,,,,
872855,,64,48,64,31,13,13,5,In Processing,,,,
399237,30,94,99,88,113,28,25,30,Eligible,,,,
460877,30,89,99,99,115,25,30,30,Eligible,,,,
825300,30,93,99,63,99,27,12,30,Eligible,,,,
366790,,61,84,57,43,11,9,23,In Processing,,,,
108459,30,89,99,98,115,25,30,30,Eligible,,,,
3862,27,99,95,99,115,30,30,28,Eligible,,,,
154802,30,87,99,99,114,24,30,30,Eligible,,,,
962077,,,,,,,,,In Processing,,,,
833893,,52,60,88,43,7,25,11,In Processing,6,24,10,40
482238,,52,60,88,43,7,25,11,In Processing,6,24,10,40
463924,,,,,0,,,,In Processing,,,,
242981,30,96,98,88,114,29,25,30,Eligible,,,,
693537,27,97,94,90,110,29,26,28,Eligible,,,,
231279,30,99,99,99,120,30,30,30,Eligible,,,,
954847,,82,71,93,65,22,27,16,In Processing,,,,
291653,,47,73,73,38,4,17,17,In Processing,,,,
333049,30,82,98,99,112,22,30,30,Eligible,,,,
58867,,53,65,95,48,7,28,13,In Processing,,,,
756503,,82,99,45,55,22,3,30,In Processing,,,,
730634,,54,69,63,35,8,12,15,In Processing,,,,
672714,,65,73,70,46,13,16,17,In Processing,,,,
177803,,64,77,65,45,13,13,19,In Processing,13,10,8,31
442803,,9,67,13,16,1,1,14,In Processing,,,,
939210,30,97,99,99,119,29,30,30,Eligible,,,,
742861,,95,88,59,63,28,10,25,In Processing,,,,
206600,,63,43,60,25,12,11,2,In Processing,,,,
625804,,,,,,,,,In Processing,,,,
664860,30,96,97,99,118,29,30,29,Eligible,,,,
193932,30,69,89,86,94,15,24,25,Eligible,,,,
188036,,56,70,71,41,9,16,16,In Processing,12,7,10,29
24147,,51,65,43,21,6,2,13,In Processing,,,,
215281,30,75,98,71,94,18,16,30,Eligible,,,,
92800,,,,,0,,,,In Processing,,,,
212476,30,99,99,99,120,30,30,30,Eligible,,,,
216036,,78,67,65,47,20,13,14,In Processing,16,20,9,45
993582,,55,80,75,47,8,18,21,In Processing,20,10,25,55
644877,30,90,99,90,112,26,26,30,Eligible,,,,
970284,30,91,99,99,116,26,30,30,Eligible,,,,
971740,,,,,,,,,In Processing,,,,
679838,,28,48,28,7,1,1,5,In Processing,,,,
849590,,58,56,65,32,10,13,9,In Processing,,,,
561727,,83,92,69,64,22,15,27,In Processing,,,,
888889,30,88,99,93,112,25,27,30,In Processing,,,,
309202,,,,,0,,,,In Processing,,,,
770669,30,95,98,79,108,28,20,30,Eligible,,,,
675000,30,95,97,99,117,28,30,29,Eligible,,,,
467333,30,98,99,98,120,30,30,30,Eligible,,,,
102148,30,99,99,99,120,30,30,30,Eligible,,,,
241983,,,,,,,,,In Processing,,,,
676683,,,,,,,,,In Processing,,,,
528683,,87,67,88,63,24,25,14,In Processing,,,,0
546706,,26,32,19,3,1,1,1,In Processing,1,4,1,6
562229,,27,86,63,37,1,12,24,In Processing,9,6,18,33
732006,,60,90,48,42,11,5,26,In Processing,,,,
90284,,46,87,79,48,4,20,24,In Processing,8,26,23,57
896310,,22,45,30,5,1,1,3,In Processing,,,,
576380,30,68,91,88,96,15,25,26,Eligible,,,,
503945,30,80,96,99,110,21,30,29,Eligible,,,,
134689,30,66,95,90,98,14,26,28,Eligible,,,,
501955,,,,,,,,,In Processing,,,,
681114,30,99,99,99,120,30,30,30,Eligible,,,,
326528,,35,40,71,18,1,16,1,In Processing,,,,
626451,,82,98,93,79,22,27,30,In Processing,,,,
433779,,22,54,55,17,1,8,8,In Processing,,,,
367657,30,84,70,64,82,23,13,16,Eligible,25,21,18,94
846566,30,77,89,68,89,19,15,25,Eligible,,,,
744170,30,99,99,99,120,30,30,30,Eligible,,,,
337588,,90,83,74,66,26,18,22,In Processing,,,,
697800,,21,57,29,11,1,1,9,In Processing,,,,
790946,,71,89,53,48,16,7,25,In Processing,18,6,25,49
359264,30,62,99,95,100,12,28,30,Eligible,,,,
585933,,36,69,22,17,1,1,15,In Processing,,,,
892451,30,72,86,69,86,17,15,24,Eligible,26,19,24,99
790326,,,,,0,,,,In Processing,,,,
477352,,48,65,51,24,5,6,13,In Processing,,,,
350641,,49,73,41,23,5,1,17,In Processing,10,20,8,38
121264,30,99,99,99,120,30,30,30,Eligible,,,,
809460,30,89,99,99,115,25,30,30,Eligible,,,,
231618,30,99,94,99,118,30,30,28,Eligible,,,,
620284,20,57,89,88,79,9,25,25,In Processing,,,,
58143,,93,92,46,58,27,4,27,In Processing,,,,
623447,,40,84,88,49,1,25,23,In Processing,6,12,16,34
191124,,,,,0,,,,In Processing,,,,
889698,30,87,94,99,112,24,30,28,Eligible,,,,
220267,28,78,92,53,82,20,7,27,Eligible,21,20,26,95
975649,23,96,85,53,82,29,7,23,In Processing,,,,
135969,,50,63,14,19,6,1,12,In Processing,15,2,10,27
955769,,,,,0,,,,In Processing,,,,
250614,30,84,98,99,113,23,30,30,Eligible,,,,
551634,30,97,97,99,118,29,30,29,Eligible,,,,
478845,,52,63,46,23,7,4,12,In Processing,,,,
297780,30,75,96,99,107,18,30,29,Eligible,,,,
960867,30,87,99,88,109,24,25,30,Eligible,,,,
492132,,86,79,43,46,24,2,20,In Processing,,,,
643479,30,94,99,99,118,28,30,30,Eligible,,,,
190952,22,90,97,60,88,26,11,29,Eligible,,,,
995131,,38,61,54,20,1,8,11,In Processing,,,,
741080,,73,77,69,51,17,15,19,In Processing,,,,
889679,30,72,84,82,92,17,22,23,Eligible,,,,
804649,,13,44,32,5,1,1,3,In Processing,1,9,5,15
930533,30,77,97,90,104,19,26,29,Eligible,,,,
49281,28,73,96,86,98,17,24,29,Eligible,,,,
916699,,15,45,16,5,1,1,3,In Processing,,,,
939954,30,64,99,93,100,13,27,30,Eligible,,,,
232470,,91,94,65,67,26,13,28,In Processing,25,20,29,74
105317,30,96,99,99,119,29,30,30,Eligible,,,,
566079,,33,75,76,38,1,19,18,In Processing,,,,
976879,,27,43,60,14,1,11,2,In Processing,,,,
750119,30,78,98,96,109,20,29,30,Eligible,,,,
939500,,71,85,1,40,16,1,23,In Processing,13,7,22,42
741880,30,85,97,99,112,23,30,29,Eligible,,,,
603669,30,86,75,93,99,24,27,18,Eligible,,,,
73243,30,89,95,99,113,25,30,28,Eligible,,,,
443696,30,90,91,82,104,26,22,26,Eligible,,,,
171304,30,62,92,88,94,12,25,27,Eligible,,,,
556766,30,99,99,99,120,30,30,30,Eligible,,,,
444443,30,86,95,99,112,24,30,28,Eligible,,,,
624323,,,,,,,,,In Processing,,,,
501742,27,86,79,66,85,24,14,20,Eligible,23,19,25,94
78324,,38,80,83,44,1,22,21,In Processing,,,,
784570,30,69,98,98,105,15,30,30,Eligible,,,,
304285,27,82,99,77,98,22,19,30,Eligible,,,,
676093,,74,68,52,40,18,7,15,In Processing,,,,
23653,30,99,99,99,120,30,30,30,Eligible,,,,
779379,,28,45,46,8,1,4,3,In Processing,1,2,6,9
498451,30,58,90,89,91,10,25,26,Eligible,,,,
712215,30,74,99,98,108,18,30,30,Eligible,,,,
177090,,31,33,14,3,1,1,1,In Processing,,,,
899985,,16,94,35,30,1,1,28,In Processing,,,,
991770,30,66,84,64,80,14,13,23,Eligible,23,18,27,98
355798,30,80,94,79,99,21,20,28,In Processing,,,,
396799,,,,,0,,,,In Processing,,,,
336725,30,86,99,88,109,24,25,30,Eligible,,,,
916216,30,89,87,96,108,25,29,24,Eligible,,,,
642787,,23,32,8,3,1,1,1,In Processing,,,,
32447,,94,63,48,45,28,5,12,In Processing,,,,
395090,22,93,97,97,107,27,29,29,Eligible,,,,
63680,,79,77,46,43,20,4,19,In Processing,16,23,18,57
14952,27,96,84,63,91,29,12,23,Eligible,,,,
724369,30,99,99,63,102,30,12,30,Eligible,,,,
105028,30,91,97,86,109,26,24,29,In Processing,,,,
839670,30,88,99,99,115,25,30,30,In Processing,,,,
721811,25,81,95,97,103,21,29,28,Eligible,,,,
991861,30,81,73,91,94,21,26,17,In Processing,,,,
718021,30,81,73,91,94,21,26,17,Eligible,,,,
936940,22,77,90,90,93,19,26,26,Eligible,,,,
401653,30,86,99,51,90,24,6,30,In Processing,,,,
762543,30,71,99,99,106,16,30,30,Eligible,,,,
443457,,58,55,54,26,10,8,8,In Processing,,,,
945066,,,,,0,,,,In Processing,,,,
155822,,26,82,51,54,26,6,22,In Processing,1,11,12,24
812938,,57,71,22,26,9,1,16,In Processing,,,,
952068,,59,80,72,48,10,17,21,In Processing,,,,
617670,,,,,0,,,,In Processing,,,,
644731,,60,73,96,57,11,29,17,In Processing,,,,
505342,30,92,99,99,117,27,30,30,Eligible,,,,
359228,,73,69,86,56,17,24,15,In Processing,13,16,16,45
534770,30,84,99,99,113,23,30,30,Eligible,,,,
226596,22,87,95,85,97,24,23,28,Eligible,,,,
99552,,40,24,16,3,1,1,1,In Processing,,,,
820729,,88,94,52,60,25,7,28,In Processing,26,20,20,66
589758,30,72,95,51,81,17,6,28,Eligible,18,13,27,88
684686,,55,60,41,20,8,1,11,In Processing,1,18,1,20
718777,,,,,0,,,,In Processing,,,,
236753,,,,,0,,,,In Processing,,,,
662803,30,92,95,99,115,27,30,28,Eligible,,,,
258881,30,80,99,99,111,21,30,30,Eligible,,,,
587906,,58,41,16,12,10,1,1,In Processing,,,,
997600,,42,84,62,37,2,12,23,In Processing,,,,
264082,,28,39,20,3,1,1,1,In Processing,,,,
105083,,57,63,91,47,9,26,12,In Processing,,,,
830220,,52,50,88,38,7,25,6,In Processing,,,,
761188,,54,99,60,49,8,11,30,In Processing,,,,
415314,30,97,99,99,119,29,30,30,Eligible,,,,
502812,27,96,97,96,114,29,29,29,In Processing,,,,
267642,27,96,97,96,114,29,29,29,In Processing,,,,
784213,27,96,97,96,114,29,29,29,Eligible,,,,
93016,,64,89,50,44,13,6,25,In Processing,,,,
981288,30,99,99,73,107,30,17,30,Eligible,,,,
876785,30,49,92,86,86,5,24,27,Eligible,17,23,26,96
342142,,78,80,41,42,20,1,21,In Processing,,,,
186509,,95,72,82,67,28,22,17,In Processing,24,20,16,60
736111,,13,48,41,7,1,1,5,In Processing,,,,
447583,30,99,99,99,120,30,30,30,Eligible,,,,
511489,,16,22,37,3,1,1,1,In Processing,,,,
891131,,62,82,60,45,12,11,22,In Processing,6,18,21,45
606512,,,,,,,,,In Processing,,,,
108558,,,,,,,,,In Processing,,,,
359897,30,91,82,99,108,26,30,22,Eligible,,,,
735185,30,74,91,41,75,18,1,26,Eligible,27,9,25,91
42088,,,,,0,,,,In Processing,,,,
607892,30,72,98,91,103,17,26,30,Eligible,,,,
763573,30,97,99,88,114,29,25,30,Eligible,,,,
323816,,24,67,51,21,1,6,14,In Processing,,,,
892145,,24,67,51,21,1,6,14,In Processing,,,,
716219,,84,55,50,37,23,6,8,In Processing,,,,
746912,,72,67,76,50,17,19,14,In Processing,,,,
990992,,55,57,76,36,8,19,9,In Processing,8,20,15,43
729910,30,75,99,91,104,18,26,30,Eligible,,,,
426750,,75,79,82,60,18,22,20,In Processing,21,18,15,54
15360,,57,84,37,33,9,1,23,In Processing,,,,
55025,22,64,89,96,89,13,29,25,Eligible,,,,
619409,30,55,99,82,90,8,22,30,Eligible,,,,
568346,,88,64,33,39,25,1,13,In Processing,29,9,20,58
811618,30,76,93,87,100,19,24,27,Eligible,,,,
440757,,87,79,57,53,24,9,20,In Processing,,,,
501859,28,72,99,96,104,17,29,30,Eligible,,,,
517690,,39,82,85,46,1,23,22,In Processing,,,,
389415,,,,,0,,,,In Processing,18,19,16,53
750258,28,99,99,99,118,30,30,30,Eligible,,,,
658097,,92,96,88,81,27,25,29,In Processing,,,,
587957,30,60,97,91,96,11,26,29,Eligible,,,,
583930,,59,94,66,52,10,14,28,In Processing,,,,
895260,,54,39,51,15,8,6,1,In Processing,,,,
341276,,,,,,,,,In Processing,,,,
935144,30,99,98,97,119,30,29,30,Eligible,,,,
32730,30,74,97,72,94,18,17,29,Eligible,,,,
277451,,88,85,66,62,25,14,23,In Processing,24,12,22,58
830009,,37,36,28,3,1,1,1,In Processing,,,,
600772,,85,90,98,79,23,30,26,In Processing,,,,
969346,,96,88,70,70,29,16,25,In Processing,,,,
170625,,,,,,,,,In Processing,,,,
671100,,68,81,48,41,15,5,21,In Processing,,,,
26249,,58,46,31,15,10,1,4,In Processing,,,,
34074,27,97,99,99,116,29,30,30,Eligible,,,,
939433,,48,66,80,40,5,21,14,In Processing,,,,
569616,30,65,99,99,103,13,30,30,Eligible,,,,
449411,26,84,97,51,84,23,6,29,In Processing,,,,
689652,,,,,,,,,In Processing,,,,
104218,,,,,0,,,,In Processing,,,,
494044,,,,,0,,,,In Processing,,,,
965754,,,,,0,,,,In Processing,,,,
646258,,,,,0,,,,In Processing,,,,
952414,,,,,0,,,,In Processing,,,,
344086,,,,,,,,,In Processing,,,,
425567,,64,53,38,21,13,1,7,In Processing,,,,
601430,,,,,0,,,,In Processing,,,,
566115,30,94,92,98,115,28,30,27,Eligible,,,,
568577,,,,,0,,,,In Processing,,,,
839911,30,95,99,99,118,28,30,30,Eligible,,,,
506729,,63,75,87,54,12,24,18,In Processing,,,,
660750,,66,77,48,38,14,5,19,In Processing,,,,
766532,,25,53,3,9,1,1,7,In Processing,,,,
597807,,31,39,31,3,1,1,1,In Processing,,,,
273183,30,69,85,99,98,15,30,23,Eligible,,,,
920157,,,,,,,,,In Processing,,,,
260986,,,,,,,,,In Processing,,,,
91674,,,,,0,,,,In Processing,,,,
351931,25,89,97,99,109,25,30,29,Eligible,,,,
869872,30,90,89,88,106,26,25,25,Eligible,,,,
465245,,,,,0,,,,In Processing,,,,
839844,,72,85,38,41,17,1,23,In Processing,,,,
987819,,46,55,10,22,4,10,8,In Processing,5,12,6,23
893790,,37,95,35,30,1,1,28,In Processing,,,,
277724,30,99,99,99,120,30,30,30,Eligible,,,,
249305,27,82,97,57,87,22,9,29,In Processing,,,,
744326,,27,54,33,10,1,1,8,In Processing,,,,
232373,30,82,97,99,111,22,30,29,Eligible,,,,
236780,,76,73,87,60,19,24,17,In Processing,10,27,12,49
140413,,39,39,33,3,1,1,1,In Processing,,,,
400165,,,,,0,,,,In Processing,,,,
492183,,,,,,,,,In Processing,,,,
745281,,40,83,66,37,1,14,22,In Processing,,,,
192236,,92,98,85,80,27,23,30,In Processing,,,,
836872,,,,,,,,,In Processing,,,,
900009,,,,,,,,,In Processing,,,,
660960,,,,,0,,,,In Processing,,,,
704166,,65,69,41,29,13,1,15,In Processing,,,,
873342,,43,39,48,8,2,5,1,In Processing,4,1,1,6
187633,,,,,,,,,In Processing,,,,
329618,,75,87,51,48,18,6,24,In Processing,,,,
267009,,,,,,,,,In Processing,,,,
903357,,28,53,29,9,1,1,7,In Processing,,,,
230753,,,,,0,,,,In Processing,9,22,11,42
783450,,,,,0,,,,In Processing,,,,
633617,,,,,,,,,In Processing,,,,
168340,,44,65,41,17,3,1,13,In Processing,,,,
983911,,27,46,66,19,1,14,4,In Processing,,,,
165105,,37,66,38,16,1,1,14,In Processing,,,,
